`CASE IDENTIFICATION NUMBER',telephne,city,county,ethcode,centract,HIGH PERCENTAGE BLACK TRACT,SAMPLING FRAME,`PARTICIPATE IN 1984 ELECTION',REGISTRATION STATUS IN 1984,PARTY REGISTRATION STATUS OF INDIVI,`CONTRIBUTE $$ TO POLITICAL UNIT IN 84',`EXHIBIT STICKER OR POSTER IN 84',`POLI WORK ON CAMPAIGN 84',`ATTENDED POLITICAL RALLY 84',MICHIGAN PARTYID,`CMCATE OPINION TO ELECTED OFFICIALS',`CMCATE OPINION TO NEWSMEDIA',`WORKED WITH GROUP AGAINST PROBLEM',COMMUNITY ORGANIZATION PROBLEM,TYPE OF COMM. ORG. PROBLEM,RELIGIOUS AFFILIATION,EVANGELICAL PROTESTANTS,PROTESTANT DENOMINATION,`LEVEL OF EDUCATION COMPLETED',`MARITAL STATUS',`HAVE CHILDREN',`NUMBER OF CHILDREN',`NUMBER OF CHILDREN IN SCHOOL',`WILL CHILDREN GO TO COLLEGE',`MOST IMP SOURCE OF INCOME',`IMP INCOME-EARNER''S RELSHIP TO RESP',`RESPONDENT''S EMPLOYMENT STATUS IN 84',`RESPONDENT''S OCCUPATION',`RESPONDENT UNEMPLOYED IN 84',`RESPONDENT''S UNION MEMBERSHIP',`RELATIVE''S EMPLOYMENT STATUS IN 84',`RELATIVE''S OCCUPATION',`RELATIVE UNEMPLOYED IN 84',`RELATIVE''S UNION MEMBERSHIP',HEAD OF HOUSEHOLD EMPLOYMENT STATUS,HEAD OF HOUSEHOLD OCCUPATION,HEAD OF HOUSEHOLD UNEMPLOYED IN 84,HEAD OF HOUSEHOLD'S UNION MEMBERSHIP,`RACIAL GROUP -- RGROUP1',natnlity,ETHNIC IDENTIFICATION,ASIAN-AMERICAN GROUPS,HISPANIC GROUP ID,`BIGGEST PROBLEM OF USA',`SPECIAL PROBLEMS OF RGROUP1',`BIGGEST PROBLEM OF RGROUP1',`GOVT REQD TO SOLVE PROBLEM OF RGRP1',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP1',`IF OTHER GRP TO SOLVE PROBLEM OF RGRP1',`ANY OTHER GROUP OF ID OR RGROUP2',`OTHER GROUP OF ID OR RGROUP2',`BIGGEST PROBLEM OF RGROUP2',`GOVT REQD TO SOLVE PROBLEM OF RGRP2',`GOVT LEVEL TO SOLVE PROBLEM OF RGRP2',`IF OTHR GRP TO SOLVE PROBLEM OF RGRP2',`GROUPS WITH FEWER OPPORTUNITIES',`GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES',`OTHER GROUP WITH FEWER OPPORTUNITIES' 2,`OTHER GROUP WITH FEWER OPPORTUNITIES' 3,`GROUPS WITH MORE OPPORTUNITIES',`GROUP WITH MORE OPPORTUNITIES',`OTHER GROUP WITH MORE OPPORTUNITIES',`GROUPS WITH MORE OPPORTUNITIES' 2,`GROUPS WITH MORE OPPORTUNITIES' 3,`AMERICANS PREJUDICED TO RGROUP1',`PARTICULAR GROUP PREJUDICED TO RGROUP1',`PERSONAL EXPERIENCE OF DISCRIMINATION',`SITUATION OF DISCRIMINATION',`FUTURE AMOUNT OF PREJUDICE',`INCREASED MILITARY SPENDING',`EQUAL RIGHTS AMENDMENT',`TAX CREDIT FOR PAROCHIAL-PVT SCHOOL',`PRAYER IN PUBLIC SCHOOL',`INCREASED SPENDING ON WELFARE',`BAN FED SPENDING ON ABORTIONS',`BAN HANDGUNS',`DEATH PENALTY FOR MURDER',`AMNESTY FOR ILLEGAL IMMIGRATION',`USE OF EMPLOYER SANCTIONS',`BILINGUAL EDUCATION PROGRAMS',`BILINGUAL BALLOTS',`VIEWS ON ABORTION',`RESPONDENT''S COUNTRY OF BIRTH',`IF PARENTS BORN IN US',`COUNTRY OF FATHER''S BIRTH',`COUNTRY OF MOTHER''S BIRTH',`SOCIAL LINKS WITH COUNTRY OF ORIGIN',`MONEY SENT HOME TO CTRY OF ORIGIN',`INTENTION TO SETTLE IN US',yentry,`IF US CITIZEN YET',`STATE IN US WHERE RESPONDENT WAS BORN',`GENERATION ENTERING CALIFORNIA',`SOCIAL LINKS WITH STATE:ORIGIN IN US',`PRIMARY NON-ENGLISH LANGUAGE',`USED BALLOT OF OTHER LANGUAGE IN 1984',yyrborn,`HOME OWNER OR RENTER',`INCOME LEVEL',`PRESIDENTIAL VOTE CHOICE 84',`IMPORTANCE OF VOTING',`SEX OF RESPONDENT',`CO-OPERATION OF RESPONDENT',`INFORMATION LEVEL OF RESPONDENT',`SINCERITY OF RESPONDENT',IMMIGRANT GENERATION,NON-ENG PRIMARY LANG OR SPAN INTERVIEW,`SPANISH LANGUAGE INTERVIEWS',`PRIMARY LANG: NON-ENGLISH OR SPANISH'
1159,213677,68,37,H,6016,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,STRONG DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,0-8 YEARS,MARRIED,YES,3 CHILDREN,NO CHILDREN,INAP,RESPONDENT,INAP,WORKING,LABORER,NO,NO,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,DK/NA,INAP,NO,INAP,WON'T CHANGE MUCH,OPPOSE,OPPOSE,OPPOSE,FAVOR,FAVOR,NO OPINION,OPPOSE,FAVOR,OPPOSE,FAVOR,OPPOSE,FAVOR,ONLY IF RAPE/INCEST,U.S.,NO,MEXICO,U.S.,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,SPANISH,INAP,26,RENT/DO NOT OWN,"LESS THAN $10,000",INAP,IMPORTANT,MALE,GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
1160,213448,66,37,A,4334,0,ASIAN SURNAME,NO,REGISTERED,DK/NA,YES,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,NONE,NOT PROTESTANT,0,GRADUATE WORK,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,PROF/TECHNICAL,YES,NO,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,YES,NO,ASIAN,JAPANESE,ASIAN-AMERICAN,JAPANESE,NON-HISPANIC,HIGH COST OF LIVING,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,MEXI-AMS/HISPANICS,ASIAN AMERICANS,WOMEN,YES,UPPER/MIDDLE CLASS,DK/NA,INAP,INAP,DK/NA,INAP,YES,GETTING A JOB,LESS PREJUDICED,NO OPINION,NO OPINION,OPPOSE,OPPOSE,NO OPINION,FAVOR,OPPOSE,NO OPINION,OPPOSE,OPPOSE,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,LATIN/C AMERICA,INAP,INAP,INAP,YES,NO,DK/NA,68,CITIZEN,ZZ,INAP,DK/NA,JAPANESE,INAP,51,OWN,"$40,000-60,000",INAP,IMPORTANT,MALE,GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
1161,714825,11,71,H,69,0,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,STRONG DEMOCRAT,SELDOM,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME HIGH SCHOOL,MARRIED,YES,1 CHILD,NO CHILDREN,INAP,RESPONDENT,INAP,RETIRED,INAP,INAP,NO,INAP,INAP,INAP,INAP,RETIRED,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,WHITE,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,DK/NA,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,MEXI-AMS/HISPANICS,DK/NA,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,MOST ARE,INAP,YES,SOCIAL SITUATION,WON'T CHANGE MUCH,OPPOSE,FAVOR,OPPOSE,FAVOR,NO OPINION,OPPOSE,NO OPINION,FAVOR,NO OPINION,NO OPINION,FAVOR,NO OPINION,ONLY IF RAPE/INCEST,U.S.,NO,MEXICO,MEXICO,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,SPANISH,NO,23,OWN,"$15,000-20,000",MONDALE,IMPORTANT,FEMALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,NON-US BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
1162,213329,68,37,H,6031,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,YES,NO,NO,LEANING DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME HIGH SCHOOL,MARRIED,YES,3 CHILDREN,2 CHILDREN,WILL GO,RESPONDENT,INAP,WORKING,CRAFTSMEN,NO,NO,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,MEXI-AMS/HISPANICS,DK/NA,INAP,INAP,YES,BLACKS,DK/NA,INAP,INAP,MOST ARE NOT,INAP,YES,GETTING A JOB,LESS PREJUDICED,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,SHD NEVER BE PERMTD,MEXICO,INAP,INAP,INAP,YES,YES,MIGHT GO BACK,64,NOT CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,50,RENT/DO NOT OWN,"$10,000-15,000",INAP,IMPORTANT,MALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
1163,408295,82,85,J,5010,0,ASIAN SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,INDEPENDENT,NEVER,NEVER,NO,0,INAP,BUDDHIST,NOT PROTESTANT,0,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,LABORER,NO,UNION,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,UNION,ASIAN,JAPANESE,ASIAN-AMERICAN,JAPANESE,NON-HISPANIC,ECO:GEN,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,WON'T CHANGE MUCH,FAVOR,OPPOSE,FAVOR,NO OPINION,OPPOSE,OPPOSE,OPPOSE,FAVOR,NO OPINION,FAVOR,NO OPINION,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,GRANDPARENTS,INAP,INAP,INAP,53,OWN,"$40,000-60,000",INAP,IMP IF INTEREST AFF,MALE,GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
1164,408287,82,85,H,5010,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,YES,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,CRAFTSMEN,NO,UNION,INAP,INAP,INAP,INAP,WORKING,CRAFTSMEN,NO,UNION,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,HIGH COST OF LIVING,YES,EDUCATION,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,WON'T CHANGE MUCH,FAVOR,FAVOR,NO OPINION,NO OPINION,OPPOSE,NO OPINION,OPPOSE,NO OPINION,NO OPINION,FAVOR,NO OPINION,DK/NA,ALWAYS ONE'S CHOICE,U.S.,NO,MEXICO,MEXICO,INAP,INAP,INAP,100,INAP,CA,BEFORE THAT,INAP,SPANISH,INAP,64,OWN,"$40,000-60,000",INAP,NOT IMPORTANT,MALE,FAIR,AVERAGE,COMPLETELY SINCERE,NON-US BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
1165,209466,86,77,H,8,HIGH PERCENTAGE BLACK,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,MOTHER,INAP,INAP,INAP,INAP,WORKING,SERVICE WORKER,NO,UNION,WORKING,SERVICE WORKER,NO,UNION,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,NO,INAP,LESS PREJUDICED,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,FAVOR,NO OPINION,FAVOR,FAVOR,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,GRANDPARENTS,INAP,INAP,INAP,61,RENT/DO NOT OWN,"$10,000-15,000",MONDALE,IMPORTANT,FEMALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
1166,408449,81,53,H,2,0,HISPANIC SURNAME,NO,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,3 CHILDREN,3 CHILDREN,SOME WILL/SOME WON'T,SOMEONE ELSE,HUSBAND,INAP,INAP,INAP,INAP,WORKING,OPERATIVES,NO,UNION,WORKING,OPERATIVES,NO,UNION,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,ECO:GEN,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,UPPER/MIDDLE CLASS,DK/NA,INAP,INAP,YES,LOWER CLASS,DK/NA,INAP,INAP,SOME ARE,NO PARTICULAR GRP,NO,INAP,WON'T CHANGE MUCH,OPPOSE,NO OPINION,FAVOR,FAVOR,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,FAVOR,NO OPINION,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,47,OWN,"$30,000-40,000",INAP,NOT IMPORTANT,FEMALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
1167,213327,68,37,H,6033,0,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,YES,NO,NO,NO,LEANING REPUBLICAN,SELDOM,SELDOM,YES,DUMPS ENVIRONMENT,"POLLUTION, LITTER",PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,COMPLETED COLLEGE,DIVORCED,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,MANAGERIAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,MANAGERIAL,NO,NO,ASIAN,JAPANESE,ASIAN-AMERICAN,JAPANESE,NON-HISPANIC,ENVIRONMENT/POLLU,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,WHITES,YES,SOCIAL SITUATION,LESS PREJUDICED,FAVOR,FAVOR,OPPOSE,NO OPINION,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,HI,INAP,YES,INAP,INAP,39,RENT/DO NOT OWN,"$30,000-40,000",REAGAN,IMPORTANT,MALE,GOOD,FAIRLY HIGH,USUALLY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
1168,213392,69,37,H,2733,0,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,WEAK DEMOCRAT,SELDOM,SELDOM,YES,MISC,MISCELLANEOUS,PROTESTANT,NOT EVANGELICAL,PROT. IN GNERAL,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,SALES,NO,UNION,INAP,INAP,INAP,INAP,WORKING,SALES,NO,UNION,WHITE,NO ETHNIC/NAT ID,NOT ASCERTAINED,INAP,NON-HISPANIC,HIGH TAXES,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,BLACKS,MEXI-AMS/HISPANICS,DK/NA,INAP,NO,INAP,INAP,INAP,INAP,DK/NA,INAP,DK/NA,INAP,DK/NA,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,OPPOSE,OPPOSE,FAVOR,OPPOSE,OPPOSE,OPPOSE,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,IL,INAP,YES,INAP,INAP,47,OWN,"OVER $60,000",REAGAN,IMPORTANT,MALE,VERY GOOD,VERY HIGH,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
1169,213386,56,37,H,2097,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,0-8 YEARS,SINGLE,YES,1 CHILD,1 CHILD,WILL GO,RESPONDENT,INAP,WORKING,LABORER,NO,NO,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,YES,RACE/ETH DISCRIMINA,GOVT ACTION REQD,ALL LEVELS OF GOVT,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,MOST ARE NOT,INAP,YES,GETTIN HOUSE-APARTM,LESS PREJUDICED,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,MEXICO,INAP,INAP,INAP,YES,YES,WILL STAY IN U.S.,72,NOT CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,52,RENT/DO NOT OWN,"LESS THAN $10,000",INAP,IMPORTANT,FEMALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
1170,714839,70,59,H,99203,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,WEAK DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,MARRIED,YES,3 CHILDREN,3 CHILDREN,WILL GO,RESPONDENT,INAP,WORKING,PROF/TECHNICAL,NO,NO,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,HIGH COST OF LIVING,YES,DK/NA,DK/NA,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,YES,DK/NA,INAP,INAP,INAP,MOST ARE,INAP,YES,SOCIAL SITUATION,MORE PREJUDICED,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,NO OPINION,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,INAP,INAP,51,OWN,DK/NA,INAP,NOT IMPORTANT,FEMALE,POOR,AVERAGE,USUALLY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
1171,213264,56,37,H,5308,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,WEAK REPUBLICAN,SELDOM,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,SOME HIGH SCHOOL,MARRIED,YES,2 CHILDREN,2 CHILDREN,SOME WILL/SOME WON'T,RESPONDENT,INAP,WORKING,LABORER,NO,NO,INAP,INAP,INAP,INAP,WORKING,LABORER,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,MAYBE/DEPENDS,DK/NA,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,NO PARTICULAR GRP,NO,INAP,LESS PREJUDICED,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,OPPOSE,OPPOSE,FAVOR,FAVOR,OPPOSE,FAVOR,FAVOR,ONLY IF RAPE/INCEST,MEXICO,INAP,INAP,INAP,YES,YES,WILL STAY IN U.S.,79,NOT CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,43,RENT/DO NOT OWN,"$10,000-15,000",INAP,DK/NA,MALE,VERY GOOD,FAIRLY HIGH,COMPLETELY SINCERE,NON-US BORN,YES,SPAN LANG INTERVIEWS,YES
1172,213896,67,37,H,104102,HIGH PERCENTAGE BLACK,HISPANIC SURNAME,NO,REGISTERED,DEMOCRAT,NO,NO,NO,NO,STRONG DEMOCRAT,NEVER,NEVER,NO,0,INAP,PROTESTANT,NOT EVANGELICAL,PRESBYTERIAN,0-8 YEARS,DIVORCED,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,SALES,NO,NO,INAP,INAP,INAP,INAP,WORKING,SALES,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,UNEMPLOYMENT,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,MEXI-AMS/HISPANICS,DK/NA,INAP,INAP,YES,WHITES,DK/NA,INAP,INAP,SOME ARE,NO PARTICULAR GRP,YES,GETTING A JOB,DK/NA,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,NO OPINION,FAVOR,FAVOR,NO OPINION,NO OPINION,FAVOR,FAVOR,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,PARENTS,INAP,SPANISH,INAP,35,RENT/DO NOT OWN,"LESS THAN $10,000",INAP,IMPORTANT,FEMALE,VERY GOOD,VERY LOW,COMPLETELY SINCERE,US-BORN PARENTS,YES,ENG LANG INTERVIEWS,YES
1173,619474,80,73,H,117,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,DK/NA,NEVER,NEVER,NO,0,INAP,NONE,NOT PROTESTANT,0,SOME HIGH SCHOOL,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,SISTER,INAP,INAP,INAP,INAP,DK/NA,INAP,INAP,NO,DK/NA,NOT IN LABOUR FORCE,NOT IN LABOUR FORCE,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,SOME ARE,NO PARTICULAR GRP,NO,INAP,LESS PREJUDICED,OPPOSE,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,OPPOSE,NO OPINION,OPPOSE,OPPOSE,ONLY IF RAPE/INCEST,MEXICO,INAP,INAP,INAP,YES,NO,WILL STAY IN U.S.,78,NOT CITIZEN,ZZ,INAP,DK/NA,SPANISH,INAP,49,RENT/DO NOT OWN,"LESS THAN $10,000",INAP,IMPORTANT,MALE,FAIR,AVERAGE,USUALLY SINCERE,NON-US BORN,YES,ENG LANG INTERVIEWS,YES
1174,213330,66,37,H,408303,0,HISPANIC SURNAME,NO,NOT REGISTERED,INAP,NO,NO,NO,NO,WEAK DEMOCRAT,SELDOM,SELDOM,YES,MISC,MISCELLANEOUS,CATHOLIC,NOT PROTESTANT,0,SOME COLLEGE,SINGLE,NO,INAP,INAP,INAP,SOMEONE ELSE,DAD/ FATHER,INAP,INAP,INAP,INAP,WORKING,PROF/TECHNICAL,NO,NO,WORKING,PROF/TECHNICAL,NO,NO,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,THREAT/NUCLEAR WAR,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,STUDENTS,DK/NA,INAP,INAP,YES,BUSINESSMEN,DK/NA,INAP,INAP,SOME ARE,NO PARTICULAR GRP,NO,INAP,LESS PREJUDICED,OPPOSE,FAVOR,OPPOSE,OPPOSE,FAVOR,OPPOSE,FAVOR,FAVOR,FAVOR,FAVOR,OPPOSE,FAVOR,ONLY IF RAPE/INCEST,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,GRANDPARENTS,INAP,INAP,INAP,65,OWN,"$30,000-40,000",INAP,IMPORTANT,FEMALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
1175,415586,85,81,H,6005,0,HISPANIC SURNAME,YES,REGISTERED,DEMOCRAT,NO,NO,NO,NO,STRONG DEMOCRAT,NEVER,NEVER,NO,0,INAP,CATHOLIC,NOT PROTESTANT,0,HIGH SCHOOL GRAD,SINGLE,NO,INAP,INAP,INAP,RESPONDENT,INAP,WORKING,CLERICAL,NO,UNION,INAP,INAP,INAP,INAP,WORKING,CLERICAL,NO,UNION,OTHER,MEXICAN,HISPANIC,INAP,MEXICAN,DK/NA,NO,INAP,INAP,INAP,INAP,NO,INAP,INAP,INAP,INAP,INAP,YES,OTHER,DK/NA,INAP,INAP,YES,"IMMIGRANTS, REFUGEES",DK/NA,INAP,INAP,SOME ARE,WHITES,YES,SOCIAL SITUATION,WON'T CHANGE MUCH,OPPOSE,FAVOR,NO OPINION,NO OPINION,FAVOR,OPPOSE,NO OPINION,NO OPINION,OPPOSE,FAVOR,NO OPINION,OPPOSE,ALWAYS ONE'S CHOICE,U.S.,YES,INAP,INAP,INAP,INAP,INAP,100,INAP,CA,BEFORE THAT,INAP,INAP,INAP,62,OWN,"$25,000-30,000",MONDALE,IMPORTANT,FEMALE,VERY GOOD,AVERAGE,COMPLETELY SINCERE,US-BORN PARENTS,NO,ENG LANG INTERVIEWS,NO
